156156 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156156 [main] DEBUG MorseCodeTranslator  - getSymbol     
156156 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     
156156 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156156 [main] DEBUG MorseCodeTranslator  - getSymbolb -...
156156 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... 
156156 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156156 [main] DEBUG MorseCodeTranslator  - getSymbolr .-.
156156 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. 
156156 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156156 [main] DEBUG MorseCodeTranslator  - getSymbolo ---
156156 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- 
156156 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156156 [main] DEBUG MorseCodeTranslator  - getSymbolw .--
156156 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- 
156156 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156156 [main] DEBUG MorseCodeTranslator  - getSymboln -.
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -. 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbol     
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolf ..-.
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolo ---
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolx -..-
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..- 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbol     
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolj .---
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolu ..-
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolm --
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolp -..-
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbole .
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbold -..
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -.. 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbol     
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolo ---
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolv ...-
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbole .
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolr .-.
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-. 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbol     
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolt -
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     - 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolh ....
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     - .... 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbole .
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     - .... . 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbol     
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     - .... .     
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymboll .-..
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     - .... .     .-.. 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbola .-
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     - .... .     .-.. .- 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolz --..
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     - .... .     .-.. .- --.. 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymboly -.--
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     - .... .     .-.. .- --.. -.-- 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbol     
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     - .... .     .-.. .- --.. -.--     
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbold -..
